stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1609,,"CROSSROADS ON MAIN AT 19TH ST NB",,  39.090580, -94.583569,,,0,
1610,,"KAUFFMAN CENTER ON MAIN AT 16TH ST NB",,  39.094764, -94.583375,,,0,
1611,,"POWER & LIGHT ON MAIN AT 14TH ST NB",,  39.097126, -94.583248,,,0,
1612,,"METRO CENTER ON MAIN AT 12TH ST NS",,  39.100125, -94.583101,,,0,
1613,,"LIBRARY ON MAIN AT 9TH ST NB",,  39.103362, -94.583036,,,0,
1614,,"NORTH LOOP ON MAIN AT 7TH ST NB",,  39.105448, -94.582901,,,0,
1615,,"CITY MARKET ON WALNUT AT 5TH ST EB",,  39.108477, -94.581756,,,0,
1631501,,"ON WINCHESTER AT 6301 WINCHESTER AVE SOUTHBOUND",,  39.008983, -94.504260,,,0,
163151,,"ON 63RD ST AT BLUE RIDGE EB",,  39.009494, -94.482135,,,0,
163152,,"ON BEACON AT WINCHESTER EB",,  39.006934, -94.504832,,,0,
163153,,"ON WINCHESTER AT 6301 WINCHESTER NB",,  39.009042, -94.504140,,,0,
163154,,"ON WINCHESTER AT 63RD ST SB",,  39.012010, -94.506335,,,0,
163155,,"ON WINCHESTER AT BEACON SB",,  39.007027, -94.504702,,,0,
1632300,,"ON 63RD AT MANCHESTER TRAFFICWAY EASTBOUND",,  39.013481, -94.528036,,,0,
1632301,,"ON 67TH AT BLUE RIDGE WESTBOUND",,  39.002459, -94.482577,,,0,
1632302,,"ON 63RD BETW YATES AND MANCHESTER EASTBOUND",,  39.012872, -94.529809,,,0,
1632304,,"ON 63RD ST BETWEEN MANCHESTER AND ELMWOOD WB",,  39.013190, -94.529519,,,0,
1632305,,"ON 63RD ST BETWEEN PASEO AND TRACY WESTBOUND",,  39.013190, -94.571296,,,0,
1632501,,"ON BLUE RIDGE CUTOFF AT BLUE RIDGE SB",,  39.004514, -94.482200,,,0,
1699,,"KCI AIRPORT NEW TERMINAL",,  39.298075, -94.718055,,,0,
17000,,"7 HWY & NORTH RIDGE PARK & RIDE",,  39.035158, -94.272590,,,0,
1700001,,"INTERSTATE 70 AND WOODS CHAPEL COMMUTER LOT",,  39.032634, -94.306626,,,0,
1702505,,"ON JEFFERSON AT 3301 EB",,  39.035308, -94.299677,,,0,
1702506,,"ON JEFFERSON AT 3300 JEFFERSON ST WB",,  39.035446, -94.299592,,,0,
17101,,"ON PROSPECT AT 77TH ST SB",,  38.987282, -94.557522,,,0,
17102,,"ON PROSPECT AT 79TH SB",,  38.983656, -94.557730,,,0,
17103,,"ON PROSPECT AT 80TH SB",,  38.981855, -94.557792,,,0,
17108,,"ON PROSPECT AT 80TH NORTHBOUND",,  38.981670, -94.557670,,,0,
17109,,"ON PROSPECT AT 78TH NORTHBOUND",,  38.984940, -94.557515,,,0,
17110,,"ON PROSPECT AT 77TH NORTHBOUND",,  38.986743, -94.557430,,,0,
1730003,,"ON 12TH BETWEEN CENTRAL AND WYANDOTTE EASTBOUND",,  39.099994, -94.586299,,,0,
1730012,,"ON 210 HWY AT AMERISTAR DR EASTBOUND",,  39.154787, -94.478246,,,0,
1730013,,"ON 210 HWY AT AMERISTAR DR WB",,  39.155069, -94.477840,,,0,
173003,,"ISLE OF CAPRI CASINO",,  39.120741, -94.563077,,,0,
17301,,"ON WYANDOTTE BETWEEN 11TH AND 12TH SOUTHBOUND",,  39.100544, -94.585617,,,0,
17302,,"ON CHOUTEAU AT RIVERBOAT DR SB",,  39.148621, -94.535373,,,0,
1730701,,"ON FRONT ST AT OLIVE EB",,  39.124350, -94.554655,,,0,
1730702,,"ON FRONT ST AT OLIVE WB",,  39.124411, -94.554751,,,0,
1731,,"ON CORRINGTON AT 45TH ST SB",,  39.175011, -94.495024,,,0,
173100,,"ON ARMOUR AT VERNON EASTBOUND",,  39.145256, -94.557950,,,0,
1731301,,"ON PARVIN AT CORRINGTON EB",,  39.168461, -94.496197,,,0,
1732,,"ON CORRINGTON AT 44TH ST SB",,  39.173025, -94.495312,,,0,
1732500,,"ON FRONT ST AT EAST 3630 SEARS OUTLET STORE WB",,  39.131386, -94.540662,,,0,
1732501,,"ON FRONT ST AT EAST 3629  SEARS OUTLET STORE EB",,  39.131264, -94.540625,,,0,
1732509,,"ON CHOUTEAU AT RIVERBOAT DR NB",,  39.148691, -94.535133,,,0,
1732510,,"ON FRONT ST AT KANSAS",,  39.128733, -94.546722,,,0,
1732512,,"ON CHOUTEAU AT DERAMUS NB",,  39.135982, -94.527203,,,0,
