service_id,date,exception_type
Jul-2022-Weekday-17-J-202207-1111000,20230613,1
Jul-2022-Weekday-17-J-202207-1111100,20230613,1
AprWk-Weekday-1-202304-1111100,20230613,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230613,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230613,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230613,1
UGT-Weekday-15-UGT-1111100,20230613,1
INDEWk1-Weekday-22-INDE2015-1111100,20230614,1
Jul-2022-Weekday-17-J-202207-1111000,20230614,1
Jul-2022-Weekday-17-J-202207-1111100,20230614,1
AprWk-Weekday-1-202304-1111100,20230614,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230614,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230614,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230614,1
UGT-Weekday-15-UGT-1111100,20230614,1
INDEWk1-Weekday-22-INDE2015-1111100,20230615,1
Jul-2022-Weekday-17-J-202207-1111000,20230615,1
Jul-2022-Weekday-17-J-202207-1111100,20230615,1
AprWk-Weekday-1-202304-1111100,20230615,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230615,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230615,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230615,1
UGT-Weekday-15-UGT-1111100,20230615,1
INDEWk1-Weekday-22-INDE2015-1111100,20230616,1
Jul-2022-Weekday-17-J-202207-1111100,20230616,1
AprWk-Weekday-1-202304-1111100,20230616,1
STCfri-Friday-48-STC2021APR-0000100,20230616,1
STCfri-Friday-48-STC2021APR-1111110,20230616,1
STCfri-Friday-48-STC2021APR-1111111,20230616,1
UGT-Weekday-15-UGT-1111100,20230616,1
INDESat1-Saturday-21-INDE2015-0000010,20230617,1
AprSat-Saturday-1-202304-0000010,20230617,1
STCsat-Saturday-51-STC2021APR-0000010,20230617,1
AprSun-Sunday-1-202304-0000001,20230618,1
May2022-Sunday-37-STC2021APR-0000001,20230618,1
May2022-Sunday-37-STC2021APR-1111111,20230618,1
INDEWk1-Weekday-22-INDE2015-1111100,20230619,1
Jul-2022-Weekday-17-J-202207-1111000,20230619,1
Jul-2022-Weekday-17-J-202207-1111100,20230619,1
AprWk-Weekday-1-202304-1111100,20230619,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230619,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230619,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230619,1
UGT-Weekday-15-UGT-1111100,20230619,1
INDEWk1-Weekday-22-INDE2015-1111100,20230620,1
Jul-2022-Weekday-17-J-202207-1111000,20230620,1
Jul-2022-Weekday-17-J-202207-1111100,20230620,1
AprWk-Weekday-1-202304-1111100,20230620,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230620,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230620,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230620,1
UGT-Weekday-15-UGT-1111100,20230620,1
INDEWk1-Weekday-22-INDE2015-1111100,20230621,1
Jul-2022-Weekday-17-J-202207-1111000,20230621,1
